channel,band,n_day,n_night,t_stat,p_value,power,mean_day,mean_night,HYP
10,Delta,24,31,-0.785621436795209,0.4375258013294183,0.10546511269016165,0.1553218423846141,0.20826580188933647,False
32,Delta,24,31,-0.784616116994334,0.4384876562703698,0.10451009195383729,0.30876804186300527,0.5993517819770091,False
58,Delta,24,31,0.7854877679120584,0.43939004524892,0.13885105179010684,0.5345606154162313,0.40660911556216994,False
2,Beta,24,31,0.7749558400704291,0.44195401504283494,0.11750275017132202,0.11238115412762996,0.08238174669841082,False
29,Tetta,24,31,0.7767894035641002,0.4444899013752259,0.13715431512403103,0.3720873928366917,0.2473209263815882,False
23,Delta,24,31,-0.7683947745829306,0.4476915972418313,0.1027071152944376,0.14603644362835935,0.2042499369505751,False
33,Delta,24,31,-0.762656420043372,0.45028598712202306,0.10379666260505048,0.2715096287518294,0.37119839613801703,False
23,Beta,24,31,0.7622823294973403,0.4505417069816513,0.12316147127123947,0.043979282884849646,0.038503198508678164,False
33,Alpha,24,31,-0.7569695516087418,0.45248272847939874,0.10900693776824517,0.10566288255794658,0.11748413903560405,False
38,Beta,24,31,0.7558627696648414,0.4535931087902685,0.11748499526300635,0.025314326017071537,0.023550684811861154,False
43,Alpha,24,31,-0.7549711997419585,0.4538814055110618,0.106635278441772,0.1398095298613272,0.1568897380763274,False
58,Tetta,24,31,-0.7529091651030653,0.45488542497519957,0.11226386904267775,0.179038090388942,0.19988875928141003,False
43,Delta,24,31,-0.7497921853997259,0.4583112923428617,0.10091943901632076,0.20005792139063525,0.2492930226299806,False
26,Beta,24,31,0.7426086059349951,0.4616418677411077,0.11601770202572562,0.05653254009826531,0.0496855665538525,False
29,Delta,24,31,0.7362069226599434,0.468518627721473,0.1286028052152458,1.8723533125340468,0.8975894585148915,False
6,Tetta,24,31,-0.7293096999507467,0.46996246828274957,0.09979565113867271,0.13332189183861226,0.14622351474335699,False
