channel,band,n_day,n_night,t_stat,p_value,power,mean_day,mean_night,HYP
8,Delta,24,31,-1.274297890806655,0.21046934812682286,0.20265265940258065,0.0001962628153353655,0.0002511997844193481,False
30,Delta,24,31,-1.2758584738617937,0.21169711340768524,0.1963221942829439,0.00039733816244551983,0.0031629252245748054,False
62,Beta,24,31,1.2615278458303945,0.21533013304677898,0.260465306937176,7.478736276732848e-05,5.7418323692333386e-05,False
32,Beta,24,31,1.2539749162999752,0.21728141604371973,0.2515465707260416,0.00011158065692458697,6.669543027219785e-05,False
4,Beta,24,31,1.227425585671081,0.22533102903698246,0.22372751977846592,5.8101397762106555e-05,5.000358722537642e-05,False
56,Alpha,24,31,-1.2267196648612113,0.2253507147563617,0.21378498168518195,8.607049824633312e-05,0.00010809882462745799,False
11,Delta,24,31,1.2291974672177954,0.22812646187008515,0.257693755836496,0.00013333016195000386,0.00010154227907864351,False
22,Beta,24,31,-1.220548267222088,0.2298645513790649,0.19010979394015884,2.2198693889575305e-05,2.9280208600162535e-05,False
40,Beta,24,31,1.21656469436647,0.23241050804534608,0.2503448097098188,0.00015832673076836048,0.00010063919986483557,False
4,Tetta,24,31,-1.2079822180139288,0.23247269038115037,0.20525505402596672,0.00014275011710338916,0.00016730037068988954,False
35,Delta,24,31,1.2220175774102953,0.23307199597582756,0.2707295495959547,0.00033812615754685556,0.00020398555073611386,False
43,Beta,24,31,1.2064963564855904,0.2357475988493256,0.24351943349850277,7.494131134094617e-05,5.3297140645011684e-05,False
0,Delta,24,31,-1.1934039076402116,0.24035982859261049,0.18310157403651128,0.00035961818218892765,0.0008491534735838161,False
51,Alpha,24,31,1.1734341482427415,0.24845530159806792,0.23202051259686812,0.00018037152245882547,0.00013255005957527106,False
6,Beta,24,31,1.166013260229211,0.2490737602239644,0.20661288735965772,3.975766208223303e-05,3.3535706874251085e-05,False
59,Delta,24,31,-1.1601025320574234,0.2551043598796252,0.17027070745133507,0.0006011778995056305,0.005000461106852373,False
27,Alpha,24,31,-1.1439144583575787,0.25782896883366957,0.195188132593608,7.632702224726912e-05,8.94186597791586e-05,False
46,Delta,24,31,1.147862011694517,0.2604939322381259,0.23600810603535044,0.00020579208353252757,0.00016129654876203894,False
38,Beta,24,31,1.1346508528237529,0.2624038406750184,0.2052597525366554,2.3331304717743602e-05,2.0631118079356767e-05,False
52,Tetta,24,31,-1.1297812458215288,0.26443254760923307,0.1763950472547121,6.564818125767844e-05,7.957585905877135e-05,False
26,Alpha,24,31,-1.1271742067175183,0.26491320315601957,0.18215264840805154,7.942479619271375e-05,9.231613712334302e-05,False
16,Delta,24,31,1.1330857474277984,0.2669332079973621,0.2335882571282682,0.00026348998437215903,0.00019630849346949884,False
42,Beta,24,31,1.131041344739083,0.26822452835248495,0.2356469644146465,4.77153472544341e-05,3.418312944222051e-05,False
12,Delta,24,31,-1.113572431666303,0.270581430243585,0.1803027167249463,0.00012703945872308644,0.00014504736488220326,False
59,Tetta,24,31,-1.1176977647060522,0.27186337917220993,0.16326628217634026,0.0002452988678315926,0.000605429033783562,False
24,Tetta,24,31,-1.1153442755191947,0.2733480939727216,0.16136138703132266,0.00010542550251925947,0.00018458374328052802,False
57,Beta,24,31,1.1039510952472584,0.2761094169005508,0.20360872169644892,7.449665907778173e-05,6.0908006321846584e-05,False
38,Tetta,24,31,-1.0951306549473767,0.2798689055575612,0.16455735798056445,7.158538653633042e-05,8.223985822610403e-05,False
33,Delta,24,31,1.0880161217665336,0.2829256358282324,0.19850585276956656,0.0001741466323658796,0.0001417219428070972,False
41,Delta,24,31,-1.0840815432916266,0.28527525532127446,0.159696823688234,0.00010249220913955109,0.00012785563689728227,False
