channel,band,n_A,n_B,mean_A,mean_B,diff_A_minus_B,t_stat,p_value
10,Beta,15,17,0.042765090930911284,0.06029671088059325,-0.017531619949681963,-1.5225574583379573,0.13890287165584664
50,Alpha,15,17,0.14227621583415878,0.2072966261127708,-0.06502041027861202,-1.5157423325644404,0.1427338288932815
22,Alpha,15,17,0.08775917157560349,0.13708550861778376,-0.04932633704218027,-1.4906173496541966,0.15257267651782158
36,Alpha,15,17,0.1105385829857181,0.15607302778345697,-0.04553444479773887,-1.4587503407820905,0.15885644231964444
45,Alpha,15,17,0.17691535388252563,0.25144430175319277,-0.07452894787066713,-1.4412828834082443,0.16068319718422974
4,Beta,15,17,0.05199658804469639,0.0641275553804945,-0.012130967335798111,-1.4287752143981725,0.16340746678856116
45,Delta,15,17,0.24493368672473084,0.327936755268931,-0.08300306854420017,-1.414810497205285,0.16760218603187904
42,Delta,15,17,0.18471806035155341,0.2656815438022634,-0.08096348345070997,-1.3947205550931352,0.1735089152963738
17,Alpha,15,17,0.21462413205336484,0.312133802132321,-0.09750967007895617,-1.3679133470555283,0.18241037005218727
25,Beta,15,17,0.03898837483443675,0.04789802640890416,-0.008909651574467409,-1.364148430630839,0.1829812917449642
26,Alpha,15,17,0.08768327078589845,0.11932950283998117,-0.03164623205408272,-1.368633185554602,0.18347873118043287
26,Delta,15,17,0.2216539620347912,0.3254402251888056,-0.1037862631540144,-1.3616700441310334,0.1835560629023298
49,Alpha,15,17,0.14498436163283063,0.21161812549086512,-0.06663376385803449,-1.3660403715770093,0.18456366790656892
2,Alpha,15,17,0.11390772688956488,0.15555621273502582,-0.041648485845460936,-1.3589921352525975,0.18457207493011996
1,Alpha,15,17,0.16504669031276112,0.23674746376334455,-0.07170077345058343,-1.353868014246274,0.18722094396755354
55,Tetta,15,17,0.1027068480553608,0.12962906182083597,-0.02692221376547517,-1.3493220938996902,0.18762714236763844
38,Alpha,15,17,0.07772192841188776,0.10718216327037297,-0.029460234858485215,-1.3510469800505054,0.18849584545507964
1,Tetta,15,17,0.212327804451897,0.29292575824035316,-0.08059795378845616,-1.3368535901754626,0.1921162768895554
9,Alpha,15,17,0.21909528499439593,0.1680299243694093,0.05106536062498662,1.3391486358857927,0.19354449111755648
35,Delta,15,17,0.39538749808829926,0.5351151117757589,-0.13972761368745962,-1.3224672405296243,0.1967730022245464
52,Alpha,15,17,0.10422792234975428,0.19242784043601827,-0.08819991808626398,-1.3372818052564905,0.19874373437732393
13,Alpha,15,17,0.13601842570813402,0.1881034048248072,-0.052084979116673175,-1.300871737657503,0.206040724565749
46,Delta,15,17,0.27005845516447036,0.35625142942206195,-0.08619297425759159,-1.2841274240832512,0.2089800344674655
50,Tetta,15,17,0.12418998993401018,0.16300951224081323,-0.03881952230680305,-1.2609051264107334,0.2171263755669613
12,Delta,15,17,0.21928958929483855,0.29748079208891937,-0.07819120279408082,-1.2476547441196268,0.2218364822699816
21,Alpha,15,17,0.09860323670778483,0.1426727342124538,-0.04406949750466897,-1.2593691880901512,0.22255183079744437
36,Delta,15,17,0.34049188966552424,0.45493781590620347,-0.11444592624067923,-1.2447037501652018,0.22315902905087848
29,Tetta,15,17,0.21916140341569512,0.29776454509264616,-0.07860314167695104,-1.2326370362952723,0.2296634154154137
44,Alpha,15,17,0.18812719763567054,0.251795239433521,-0.06366804179785046,-1.224547033846373,0.2303705502857536
49,Tetta,15,17,0.11088767942218553,0.1367184669718522,-0.025830787549666667,-1.2096554859693784,0.23670513692317935
43,Alpha,15,17,0.1411093209988423,0.18862519822806037,-0.04751587722921807,-1.208952474403607,0.23797167730443086
25,Alpha,15,17,0.11639667073826468,0.1599102904472281,-0.04351361970896342,-1.2058258345532842,0.24233729023336928
24,Beta,15,17,0.08371863501323831,0.1392925401995642,-0.05557390518632588,-1.2003857091399353,0.24409876382126652
41,Tetta,15,17,0.10682354127722128,0.13859263209088676,-0.03176909081366548,-1.1835474386665055,0.24741047921526765
60,Tetta,15,17,0.13219008064636636,0.1747179378648432,-0.04252785721847682,-1.178031128196977,0.24809178555617922
62,Alpha,15,17,0.1492540474774109,0.19431272095345817,-0.04505867347604728,-1.1663742467057574,0.2537621068714677
58,Tetta,15,17,0.17550880500366764,0.2195558208732211,-0.04404701586955345,-1.1639181318024843,0.25427619472001856
41,Alpha,15,17,0.14083494624448203,0.1931821934106637,-0.052347247166181665,-1.1711773183237904,0.25497708735496816
32,Tetta,15,17,0.12559317609383944,0.16930437524716893,-0.043711199153329494,-1.1533500070862919,0.2578762110239565
30,Beta,15,17,0.13207719242643742,1.5016522575952425,-1.369575065168805,-1.1719343050197388,0.2583289616914135
